negative_word,count1,non_negative_word,count2
could,75,updating,5
possible,34,needed,38
become,8,home,188
Columbus,11,9am,4
southwest,16,Been,66
rescheduling,3,Guess,8
bags,30,hang,23
Currently,3,give,113
heavily,3,using,40
bit,10,award,23
excuse,3,jump,6
say,26,Seattle,8
open,33,Waiting,20
seating,10,Status,4
mom,11,matter,22
said,26,200,53
rebooked,20,rental,12
online,35,car,53
fantastic,13,3rd,23
Will,49,also,61
try,24,said,143
photo,10,book,118
view,13,else,50
start,39,disappointing,13
sell,5,traveler,12
water,3,dept,14
called,17,allowing,11
market,3,responses,6
let,40,helpful,60
gate,87,FOUR,4
connection,23,HOURS,14
due,27,landed,52
CLT,25,Flt,23
tail,4,630,5
Boston,30,phx,7
red,7,JFK,99
share,18,Plus,9
talk,9,passed,6
Chicago,37,fine,28
system,9,flyers,13
sitting,14,accommodate,14
seat,63,seem,32
video,9,minutes,258
around,13,apologies,14
crewmembers,3,nice,57
daily,7,CLE,6
bring,24,offered,33
dog,3,usual,10
Philly,11,southwest,17
BOS,22,love,50
many,29,different,72
res,4,city,28
Congrats,7,employees,64
winning,3,stole,6
Deals,3,pair,3
Airline,7,understand,77
imagine,8,lavatory,5
dragons,7,freezing,13
contest,9,policy,46
ahead,6,checking,27
live,14,smh,9
premium,8,till,12
LHR,6,TUESDAY,3
advisory,15,spent,41
may,17,1000,6
affected,6,unhelpful,21
job,47,Sure,8
turning,3,arrives,11
definitely,13,Had,27
Virgin,12,explain,23
phone,56,ask,30
waive,3,guide,3
fee,19,dog,12
sending,9,min,169
details,13,transferred,10
pretty,12,asking,30
bag,73,worse,59
😊,12,try,60
Once,3,gets,26
speak,10,plans,24
someone,37,non,24
things,20,existent,6
Well,20,robot,3
agent,38,running,17
family,27,remember,12
provide,12,conversation,4
Fort,8,consider,11
Beach,7,loyal,37
baggage,38,brand,6
claim,18,concern,14
excellent,19,experiences,10
complaint,6,haha,4
missing,11,Still,71
others,7,Seems,13
confirmation,33,multiple,26
Maybe,15,sat,34
better,45,half,68
already,42,nowhere,3
delayed,34,catch,16
